0;1;2
C1.03.01::pjacqueline;5;
C1.03.01::pjacqueline;6;
C1.03.01::pjacqueline;7;
C1.03.01::pjacqueline;8;
C1.03.01::pjacqueline;9;
C1.03.01::pjacqueline;10;
C1.03.01.02::shederaldo;1;42.29
C1.03.01.02::shederaldo;2;40.6
C1.03.01.02::shederaldo;3;40.14
C1.03.01.02::shederaldo;4;37.23
C1.03.01.02::shederaldo;5;39.59
C1.03.01.02::shederaldo;6;37.28
C1.03.01.02::shederaldo;7;34.31
C1.03.01.02::shederaldo;8;34.26
C1.03.01.02::shederaldo;9;35.9
C1.03.01.02::shederaldo;10;36.9
C1.03.01.02.01.01::vaqualidade;1;
C1.03.01.02.01.01::vaqualidade;2;
C1.03.01.02.01.01::vaqualidade;3;
C1.03.01.02.01.01::vaqualidade;4;
C1.03.01.02.01.01::vaqualidade;5;
C1.03.01.02.01.01::vaqualidade;6;
C1.03.01.02.01.01::vaqualidade;7;
C1.03.01.02.01.01::vaqualidade;8;
C1.03.01.02.01.01::vaqualidade;9;
C1.03.01.02.01.01::vaqualidade;10;
C1.03.01.02.01.01::OP001racamila;1;
C1.03.01.02.01.01::OP001racamila;2;
C1.03.01.02.01.01::OP001racamila;3;
C1.03.01.02.01.01::OP001racamila;4;
C1.03.01.02.01.01::OP001racamila;5;
C1.03.01.02.01.01::OP001racamila;6;
C1.03.01.02.01.01::OP001racamila;7;
C1.03.01.02.01.01::OP001racamila;8;
C1.03.01.02.01.01::OP001racamila;9;
C1.03.01.02.01.01::OP001racamila;10;
C1.03.01.02.02::malex;1;62.22
C1.03.01.02.02::malex;2;60.1
C1.03.01.02.02::malex;3;59.63
C1.03.01.02.02::malex;4;59.42
C1.03.01.02.02::malex;5;59.17
C1.03.01.02.02::malex;6;58.48
C1.03.01.02.02::malex;7;58.63
C1.03.01.02.02::malex;8;58.86
C1.03.01.02.02::malex;9;58.52
C1.03.01.02.02::malex;10;58.79
C1.03.01.02.02::salexander;1;
C1.03.01.02.02::salexander;2;
C1.03.01.02.02::salexander;3;
C1.03.01.02.02::salexander;4;
C1.03.01.02.02::salexander;5;
C1.03.01.02.02::salexander;6;
C1.03.01.02.02::salexander;7;
C1.03.01.02.02::salexander;8;
C1.03.01.02.02::salexander;9;
C1.03.01.02.02::salexander;10;
C1.03.01.02.02::qrafael;1;
C1.03.01.02.02::qrafael;2;
C1.03.01.02.02::qrafael;3;
C1.03.01.02.02::qrafael;4;
C1.03.01.02.02::qrafael;5;
C1.03.01.02.02::qrafael;6;
C1.03.01.02.02::qrafael;7;
C1.03.01.02.02::qrafael;8;
C1.03.01.02.02::qrafael;9;
C1.03.01.02.02::qrafael;10;
C1.03.01.02.02::cvilwander;1;
C1.03.01.02.02::cvilwander;2;
C1.03.01.02.02::cvilwander;3;
C1.03.01.02.02::cvilwander;4;
C1.03.01.02.02::cvilwander;5;
C1.03.01.02.02::cvilwander;6;
C1.03.01.02.02::cvilwander;7;
C1.03.01.02.02::cvilwander;8;
C1.03.01.02.02::cvilwander;9;
C1.03.01.02.02::cvilwander;10;
C1.03.01.02.03::raline;1;69.72
C1.03.01.02.03::raline;2;43.61
C1.03.01.02.03::raline;3;43.58
C1.03.01.02.03::raline;4;43.34
C1.03.01.02.03::raline;5;43.49
C1.03.01.02.03::raline;6;43.42
C1.03.01.02.03::raline;7;43.42
C1.03.01.02.03::raline;8;43.17
C1.03.01.02.03::raline;9;43.33
C1.03.01.02.03::raline;10;43.51
C1.03.01.02.03.03::OP001caldineia;1;
C1.03.01.02.03.03::OP001caldineia;2;
C1.03.01.02.03.03::OP001caldineia;3;
C1.03.01.02.03.03::OP001caldineia;4;
C1.03.01.02.03.03::OP001caldineia;5;
C1.03.01.02.03.03::OP001caldineia;6;
C1.03.01.02.03.03::OP001caldineia;7;
C1.03.01.02.03.03::OP001caldineia;8;
C1.03.01.02.03.03::OP001caldineia;9;
C1.03.01.02.03.03::OP001caldineia;10;
C1.03.01.02.03.03::OP001pguilherme;1;
C1.03.01.02.03.03::OP001pguilherme;2;
C1.03.01.02.03.03::OP001pguilherme;3;
C1.03.01.02.03.03::OP001pguilherme;4;
C1.03.01.02.03.03::OP001pguilherme;5;
C1.03.01.02.03.03::OP001pguilherme;6;
C1.03.01.02.03.03::OP001pguilherme;7;
C1.03.01.02.03.03::OP001pguilherme;8;
C1.03.01.02.03.03::OP001pguilherme;9;
C1.03.01.02.03.03::OP001pguilherme;10;
C1.03.01.02.03.01::ralan;1;69.72
C1.03.01.02.03.01::ralan;2;43.61
C1.03.01.02.03.01::ralan;3;43.58
C1.03.01.02.03.01::ralan;4;43.34
C1.03.01.02.03.01::ralan;5;43.49
C1.03.01.02.03.01::ralan;6;43.42
C1.03.01.02.03.01::ralan;7;43.42
C1.03.01.02.03.01::ralan;8;43.17
C1.03.01.02.03.01::ralan;9;43.33
C1.03.01.02.03.01::ralan;10;43.51
C1.03.01.02.03.01::vagox;1;
C1.03.01.02.03.01::vagox;2;
C1.03.01.02.03.01::vagox;3;
C1.03.01.02.03.01::vagox;4;
C1.03.01.02.03.01::vagox;5;
C1.03.01.02.03.01::vagox;6;
C1.03.01.02.03.01::vagox;7;
C1.03.01.02.03.01::vagox;8;
C1.03.01.02.03.01::vagox;9;
C1.03.01.02.03.01::vagox;10;
C1.03.01.02.03.01::lrenan;1;
C1.03.01.02.03.01::lrenan;2;
C1.03.01.02.03.01::lrenan;3;
